
-396976.43624482600716874,180826.69157214247388765,
-396956.28740398440277204,180851.77962028642650694,
-396973.56030916288727894,180866.1517322288127616,
-396969.86839049879927188,180871.42590174896758981,
-396963.01197012257762253,180866.41544070481904782,
-396939.80562423396622762,180895.95079001761041582,
-396996.02807630720781162,180940.92644908258807845,
-397019.09812589606735855,180912.40930445189587772,
-397016.69499573059147224,180910.00617428639088757,
-397020.540003995411098,180902.95699246757430956,
-397024.22480358247412369,180906.16116602160036564,
-397041.20692341873655096,180884.05236849893117324,
-397037.84254118701210245,180881.00840362263261341,
-397040.24567135254619643,180877.48381271320977248,
